Image,Rating,Name,Price
https://lh5.googleusercontent.com/p/AF1QipPNC2__pCe8UcGVfJMSUgIURiALZH7C11xCGPc7=w112-h112-n-k-no,3.9,Kanad Annayya Convention Hall,₹12053
https://lh5.googleusercontent.com/p/AF1QipPMdWfGkCl2gVptgNm3jZSzZldJuyxl08xmwNQ1=w112-h112-n-k-no,3.8,Thirumala Convention Hall Hassan,₹12054
https://lh5.googleusercontent.com/p/AF1QipO_MPA6GWr3MLjCwEwGbefMKhy8DNPwks4uaS4B=w112-h112-n-k-no,3.8,NCN Kalyana Mantapa,₹12055
https://lh5.googleusercontent.com/p/AF1QipM_K4JmOoh6LQR0AeBLNpHuDBRCly2PQiHeKqLy=w112-h112-n-k-no,3.7,S.I Convention Hall,₹12056
https://lh5.googleusercontent.com/p/AF1QipOrjwclk1Bmf_PlC16B9P8nZSv2t-dFioepwW0L=w112-h112-n-k-no,3.7,NCN Convention Hall,₹12057
https://lh5.googleusercontent.com/p/AF1QipPwnDTH58izZmruwG6QNIAYSjN2lD0PUWF5wcIN=w112-h112-n-k-no,3.7,Hanumamma Cheluvayya Memorial Hall,₹12058
https://lh5.googleusercontent.com/p/AF1QipPSfqT1cigdVdc5tvOP5hhGbDUJQcIh8NiSDS7b=w112-h112-n-k-no,3.7,Sri Basaveshwara Kalyana Mantapa,₹12059
https://lh5.googleusercontent.com/p/AF1QipMUXwLwQRK5DgJ0QjmNGssZdyCjE_ZcZD-Xl_Th=w112-h112-n-k-no,3.7,Shivalingeshwara Kalyana Mantapa,₹12060
https://lh5.googleusercontent.com/p/AF1QipOsrqvpyD__TlpGNJUd3sPxQS5Qe30egQ3WrO4u=w112-h112-n-k-no,3.7,Gayatri Bhavan,₹12061
https://lh5.googleusercontent.com/p/AF1QipMeYQgA0LR_-Zj6wp_lUeOJkc8xxTB5Pkq8bRmI=w112-h112-n-k-no,3.6,MH Convention Hall,₹12062
https://lh5.googleusercontent.com/p/AF1QipPZhRrTmtti9wXObt5M0edYZYdAwWie2sgx-xoE=w112-h112-n-k-no,3.6,HBS Convention Hall,₹12063
https://lh5.googleusercontent.com/p/AF1QipNlax6C5fkHc0x0BbxeFNYom1D7htBe4ixtlZzK=w112-h112-n-k-no,3.6,Manjunatha Kalyana mantapa,₹12064
https://www.google.com/maps/vt/data=hPHuUmWw6ENBsD3KxJYntdVeU594zAQiI8WMuA0usFeo7mn1JTpsj4df1qLbzEBnuSq4YN2Z5te2CUkwOLjzUSsvB6KNfCivF0lSgyRY9X98kXBplE3oTEVIZAYPpG258TnSZ6UH4V_uAxfop9LdGlOekQ,3.6,Kuruhinashetty Samudaya Bhavan,₹12065
https://www.google.com/maps/vt/data=7ZNqva8No8wK8_jpCTtJtWVVCnwH0skwETBBqZ4jr4TFVXUmbbn-lltPieCIeRB2zWTSt7QoNrXfwVm7Sp1_TNJYpbT5Hk2KPTiUOlndkoNhmleDz850edcAXtJ5CDcidRTa_cc4yPfsUSvWln4041hAwg,3.6,SHREE THANGYAMMA HANUMANTHE GOWDA KALYANA MANTAPA,₹12066
https://lh5.googleusercontent.com/p/AF1QipOf2ZNDrqTT2fS6VfBAqKGl3gkdN6hhF7m4xsRO=w112-h112-n-k-no,3.5,"Shivajyothi Kalyana Mantapa,Hassan",₹12067
https://lh5.googleusercontent.com/p/AF1QipMVwfsHtgZrj2KEPlsLZoxGJxyOyh0dBjfSeRYO=w112-h112-n-k-no,3.4,Shubhodaya Marraige Hall,₹12068
https://www.google.com/maps/vt/data=I_5SO6AU3t5L6t1RZ6ijQ_QA_6lJp7BS5bSS9jhdEOvXGIsueIHHM3cTsCwA1H_eLAHrfz0F0UYGBYODjaZOnEUl40Dhbs3v600kluarS1jy5HJr2uW4yFWETVkw5AciwSBIm5EvLrHQJW9C68-6bhAhog,3.3,Kuntappa Memorial Hall,₹12069
https://www.google.com/maps/vt/data=hEuQ7yv63AIb-XMbQ5JwiFzqNUS8UlxN_a5hc4frko_AsdWrQZItCBXDZigghJbhMop2aCz4bynS2vvO_t-HY1OvZhl11YuAal_2m9LYog1CayvQjxSUt1Ipm3XNUpmxTzESKUo3g0_J-a4bnRZgWR48Xw,3.3,HG convention Hall,₹12070
https://lh5.googleusercontent.com/p/AF1QipPXOa2Qf6QmuqL5rylDeF57CtpOvyoQQLYcenHE=w112-h112-n-k-no,3.3,Therapanth Sabha Bhavan,₹12071
https://lh5.googleusercontent.com/p/AF1QipN-9D8BDFc6pSxkByYiigycuzbiD0z8fCtov3ht=w112-h112-n-k-no,3,K E B Convention Hall,₹12072
https://www.google.com/maps/vt/data=A4ppoWTU9CcFfMDEqND1mo3cw7IU1eKnYZVDA4yJlTWV4TOWmVucXttdjRWNZvMoO1Ad0LD1vGMC-QQ1wlgJT8UvtKYLH1K0QF_Xg93NjxypbNuiFmLbLImLHiWRBa2TYPXy5aZmPXFbUaLif8MO7W5tDg,1,ಶಿವಲಿಂಗೇಶ್ವರ ಕಲ್ಯಾಣ ಮಂದಿರ,₹12073
,,,₹12074
,,,₹12075
https://www.google.com/maps/vt/data=Ag5a35F-i_x-5GlTdKVbwNaP-SUfjbed6cyO7TEveccSaP29eLrwmfbVXMSJVxz9_jIQZw74f4CBjt38SD5fzMhIzT2ckVTPoOBwCp7ifOldytT8PcAebZatKxzII7QzB2oVKQNkwaAwEBktjrASBa_8zA,,ADITHYA CONVENTION HALL,₹12076
https://www.google.com/maps/vt/data=lGbYXFEdK2QVJoJeSB5iWnVVRoVwzNEySFf7FOuUyrQyrcfirH6r9y2QnJryynmgYPTxFnQ-ARyMT3c0UGwYBUK1-AGhIfq-Tkbvo2MJ_7aLGUus-p1pi_rEwNdBft0t2Q1k91soqCGdRfH4vss1AUcoLg,,MH Convention Hall Parking,₹12077
https://www.google.com/maps/vt/data=CbW8nHTifcA-C5Oc5990o_AwdKtyYg6tzflebvhPLGkRXfhvHFUgXECNds1ZLwOaefKgE71AaYc7ae41vt6cH2c4pmXJp2C8L2qrIe2xIXrM3bAUU23ww1sRpf_Qcoa_C9z0kEgQnueUmgJr36LDU6eGiA,,Punith party hall,₹12078
https://www.google.com/maps/vt/data=F3QCNKi-H9MEPTCiEwLv7lD6_0dSI6b_IYMV_iz9Fo6SHGIHd21LDvabbad1H2vwsi8DTJbqQK9KqpiMxy0ekSpe1GIch-PQKAdH8FfHx7QAiCKj8EXxHMmicmYybRbDB7u46rYPjGjbbI377pqoAcec8Q,,Sri Rangalakshmi Convention Hall,₹12079
https://lh5.googleusercontent.com/p/AF1QipOOamGhQbixiWIvSaovw6r_YrBf9B5Y2IYcw_Yp=w112-h112-n-k-no,,D R Suvarna Convention Hall,₹12080
https://www.google.com/maps/vt/data=QTADu6d5lS7KqBHF_SjuMlvSSMm_gQxOH3SGuZZ61933nBFc08fTe6WVlWDazaXn1-aZkj_OuGF60nTojPswHj1P4eu1UgJns8tWsFzAfMRA3FqKoGbLr_YEWOKFwpKaw6BNK3B5ksPLjiUdLMs8xa6h_Q,,ಆರ್‌.ಜಿ. ಪ್ಯಾಲೇಸ್ ಕನ್ವೆನ್ಷನ್ ಹಾಲ್,₹12081
https://www.google.com/maps/vt/data=ikZAJZqKSziZXzoBZR7-fyy5yXTIxIlQUaJA5mEKWzd23zNCnzB6sUCrKIW_HQpm2MSESqGuM3Cl28mNbMnX_tuZ70dAvpOVjYCRbcDfVnHwvf-FCbUHCnE6yT60EvRb-1eqmK3ji-TRCqOEH1i747RRvA,,Shree Yogi Narayana Samudaya Bhavana,₹12082
https://www.google.com/maps/vt/data=kq0yfqE5lmyET3P9UBRd2ojzB7GtOjcZw7xPSKAsvwuDo2NOQ7_1_cniyZazzBQzBWbtZnAfrJ5rAClGeR1eutiNSzAtIOS0SKy5LG6uTFaiTsSRkipBkvSolmE76m_TJjWqk_Xnd2ZeI8tYi0VXkSPdUw,,HANUMAMMA CHALU'AIAH CONVENTION HALL,₹12083
https://www.google.com/maps/vt/data=b_2ZQJqDy2pKqzDGgtMa71UI2W9ulHgm6x3T-tUkLfERpTHpTEqOrkcX-UprDpgFFpgyJVyqtv_32vJ0OARMcpT5IMhyZ1GJlyR0L5OLUpmns-Y1sGFRS06d7vRH358B7aF_HBMKfRSmjHCzcO8ArbU1lA,,YASHASWUNI CONVENTION HALL,₹12084
https://lh5.googleusercontent.com/p/AF1QipP_AAlwOb0o6hFHf9em2wazIXf-RhHLUhQr54-A=w112-h112-n-k-no,,Seminar hall Rit hassan,₹12085
https://lh5.googleusercontent.com/p/AF1QipOR5Fi9NxoWCSfx7oV7faB4HTiAm6yjsnzJopIz=w112-h112-n-k-no,,Dhanushri Convention Hall,₹12086
https://www.google.com/maps/vt/data=leJ-Hv9yjGkFA-mi6iJH9iTY_nWdu69HmPzT89D_AATrlS-gIMgx4EoyQAyYvm_I8iEg05XBGR_tO3LV0lHHVWCNPnHm6EQX0A27PnBPWu-dsD-I6fCqJcwBApJSk5ZxV6bYbBET2X3wgUrq5VUmtqplcg,,S B CONVENTION HALL,₹12087
https://www.google.com/maps/vt/data=hNs-jsHHIcP4nwjyCE_SSMpYwgbBBzBFTYbGY2zvw5UbbBnFbxjOMUzfvDjVONdO8eGiS_im-c5ELU1Wp7GBo4OLV8YwFGsnHcaZo7TYjuP8ax0nyNGv61Jk6U9o8x1ubPXGkySYdrrid3K0hSpPksx3sA,,Sriranganatha Kalyan Mantapa,₹12088
https://www.google.com/maps/vt/data=VWLN41rhuWlFzpH2iVCNs_3x6iy9Mu1l4WfVHbk0ylxT3TvnaaL_srx0smoLQN5vtzKp1AkfxiwAv-gvwIVWQrK80n5xtI7A5_XFRHVBERrS-Svc4vpP-7Bj-1FQfGRruP8UzpTLZl9acb-B39eGnSyt8Q,,Sri Rama Mandir,₹12089
